few events in recent astronomical history have had the worldwide emotional resonance as the two thousand six announcement that pluto was no longer considered a planet at least as far as the international astronomical union was concerned the decision was a long time coming but no person deserves more creditblame for
as the international astronomical union was concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of
the international astronomical union was concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which
international astronomical union was concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was
astronomical union was concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just
union was concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as
was concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving
concerned the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of
the decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary
decision was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status
was a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as
a long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto
long time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather
time coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than
coming but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting
but no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the
no person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary
person deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family
deserves more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate
more creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without
creditblame for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound
for forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers
forcing the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided
the astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that
astronomical hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none
hand than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of
than caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these
caltech astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects
astronomer michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated
michael brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the
brown he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits
he and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in
and his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which
his team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they
team discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved
discovered a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so
a number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none
number of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of
of objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them
objects in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should
in the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be
the outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets
outer solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now
solar system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown
system eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and
eris haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his
haumea sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague
sedna and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin
and others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin
others any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have
any of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found
of which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect
which was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence
was just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that
just as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there
as deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is
deserving of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another
of planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real
planetary status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet
status as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far
as pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond
pluto rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit
rather than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which
than letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they
letting the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have
the planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed
planetary family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet
family proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine
proliferate without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just
without bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to
bound astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind
astronomers decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you
decided that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that
that none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there
none of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are
of these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently
these objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only
objects dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight
dominated the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike
the orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown
orbits in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received
in which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his
which they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd
they moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in
moved so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy
so none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from
none of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc
of them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley
them should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in
should be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and
be planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is
planets now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently
now brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the
brown and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard
and his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and
his colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara
colleague konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg
konstantin batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor
batygin have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of
have found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary
found indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy
indirect evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at
evidence that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech
that there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he
there is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared
is another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the
another real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli
real planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize
planet far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in
far beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics
beyond orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in
orbit which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in two
which they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in two thousand
they have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in two thousand twelve
have dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in two thousand twelve for
dubbed planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in two thousand twelve for his
planet nine just to remind you that there are currently only eight mike brown received his phd in astronomy from uc berkeley in and is currently the richard and barbara rosenberg professor of planetary astronomy at caltech he shared the kavli prize in astrophysics in two thousand twelve for his discovery
